metin,etiket
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"Finans ekibinden hala geri dönüş alınamadı, süreç durdu.",1
"Destek bileti #5505, Yönetici tarafından 1 haftadır incelenmedi.",1
"IT Destek ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi Yönetici tarafından 3 gündür manuel olarak girilmedi.,1
Müşteri verisi Ahmet Y. tarafından 5 iş günüdür manuel olarak girilmedi.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Destek bileti #5203 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Destek bileti #1703 Yönetici tarafından çözüldü ve kapatıldı.,0
"Raporlama Ahmet Y. tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
"İK planlaması tamamlandı, kaynaklar atandı.",0
Destek bileti #9869 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Müşteri verisi Departman Müdürü tarafından 3 gündür manuel olarak girilmedi.,1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
"Ahmet Y., 5 iş günüdür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Ekip Lideri 5 iş günüdür proje planı onayını bekletiyor.,1
"Ekip Lideri, 48 saattir yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
IT Destek ekibi bugün içinde geri dönüş sağladı.,0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"İK planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi Ayşe K. tarafından 1 haftadır manuel olarak girilmedi.,1
Destek bileti #9237 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Satış ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Finans planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Raporlama Yönetici tarafından yönetime sunuldu.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"İK ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
"Satış ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Operasyon ekibi bugün içinde geri dönüş sağladı.,0
"İK ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
Ahmet Y. 3 gündür izin talebi onayını bekletiyor.,1
Raporlama Yönetici tarafından yönetime sunuldu.,0
"Destek bileti #2228, Ahmet Y. tarafından 3 gündür incelenmedi.",1
Finans ekibi bugün içinde geri dönüş sağladı.,0
"Departman Müdürü, hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Destek bileti #2348, Departman Müdürü tarafından hala incelenmedi.",1
Destek bileti #4101 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"Operasyon ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"İK ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
"Finans ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
Finans ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Satış ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi Ahmet Y. tarafından 3 gündür manuel olarak girilmedi.,1
bütçe Ayşe K. tarafından zamanında onaylandı.,0
"Operasyon planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
bütçe Yönetici tarafından zamanında onaylandı.,0
Operasyon ekibi zamanında içinde geri dönüş sağladı.,0
"IT Destek planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
fatura Departman Müdürü tarafından zamanında onaylandı.,0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Destek bileti #4813 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
Destek bileti #4000 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Destek bileti #1157, Ahmet Y. tarafından 48 saattir incelenmedi.",1
Departman Müdürü 5 iş günüdür proje planı onayını bekletiyor.,1
Müşteri verisi Departman Müdürü tarafından 5 iş günüdür manuel olarak girilmedi.,1
Yönetici hala proje planı onayını bekletiyor.,1
"Raporlama Ahmet Y. tarafından 48 saattir tamamlanmadı, işlem bekliyor.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
"Finans planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi Departman Müdürü tarafından hala manuel olarak girilmedi.,1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"Ahmet Y., 1 haftadır yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
"Satış ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi Ayşe K. tarafından 1 haftadır manuel olarak girilmedi.,1
Ekip Lideri 48 saattir bütçe onayını bekletiyor.,1
"Operasyon planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Operasyon planlaması hala yapılmadı, kaynak ataması bekliyor.",1
Departman Müdürü 48 saattir bütçe onayını bekletiyor.,1
Raporlama Yönetici tarafından yönetime sunuldu.,0
Destek bileti #8070 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Ekip Lideri, 48 saattir yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Departman Müdürü 3 gündür izin talebi onayını bekletiyor.,1
Müşteri verisi Ahmet Y. tarafından 3 gündür manuel olarak girilmedi.,1
Müşteri verisi Ayşe K. tarafından 5 iş günüdür manuel olarak girilmedi.,1
"Yönetici, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Destek bileti #5018 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
"Destek bileti #7546, Departman Müdürü tarafından 3 gündür incelenmedi.",1
Destek bileti #8116 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
Departman Müdürü 3 gündür proje planı onayını bekletiyor.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi Ahmet Y. tarafından 48 saattir manuel olarak girilmedi.,1
"Ekip Lideri, 3 gündür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Ahmet Y. 5 iş günüdür izin talebi onayını bekletiyor.,1
Müşteri verisi Yönetici tarafından hala manuel olarak girilmedi.,1
Müşteri verisi Ahmet Y. tarafından hala manuel olarak girilmedi.,1
"Departman Müdürü, 1 haftadır yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
Destek bileti #6134 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Satış ekibi bugün içinde geri dönüş sağladı.,0
"Ayşe K., hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Yönetici, hala yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Destek bileti #7755 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
proje planı Ekip Lideri tarafından zamanında onaylandı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Finans ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Destek bileti #5886 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Ekip Lideri 48 saattir proje planı onayını bekletiyor.,1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Ayşe K. 48 saattir bütçe onayını bekletiyor.,1
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
Müşteri verisi Ekip Lideri tarafından 3 gündür manuel olarak girilmedi.,1
IT Destek ekibi bugün içinde geri dönüş sağladı.,0
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Satış ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"Yönetici, 48 saattir yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Müşteri verisi Yönetici tarafından 3 gündür manuel olarak girilmedi.,1
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
"Raporlama Ahmet Y. tarafından 48 saattir tamamlanmadı, müşteri bekliyor.",1
"Raporlama Ayşe K. tarafından hala tamamlanmadı, proje gecikiyor.",1
"İK ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Ahmet Y. 48 saattir izin talebi onayını bekletiyor.,1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"Destek bileti #5270, Ayşe K. tarafından 48 saattir incelenmedi.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Ahmet Y. 1 haftadır proje planı onayını bekletiyor.,1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
"Finans ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Müşteri verisi Ekip Lideri tarafından hala manuel olarak girilmedi.,1
Müşteri verisi Yönetici tarafından 48 saattir manuel olarak girilmedi.,1
"İK ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
"İK planlaması tamamlandı, kaynaklar atandı.",0
"Destek bileti #2583, Ahmet Y. tarafından 48 saattir incelenmedi.",1
"Destek bileti #7397, Ekip Lideri tarafından hala incelenmedi.",1
"Satış ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
"Ekip Lideri, 5 iş günüdür yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Müşteri verisi Ahmet Y. tarafından 1 haftadır manuel olarak girilmedi.,1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Raporlama Yönetici tarafından 1 haftadır tamamlanmadı, müşteri bekliyor.",1
"Destek bileti #9166, Ayşe K. tarafından 1 haftadır incelenmedi.",1
Raporlama Yönetici tarafından yönetime sunuldu.,0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
İK ekibi 1 saat içinde içinde geri dönüş sağladı.,0
izin talebi Yönetici tarafından zamanında onaylandı.,0
Ahmet Y. 1 haftadır fatura onayını bekletiyor.,1
"Satış ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi Yönetici tarafından 3 gündür manuel olarak girilmedi.,1
Ayşe K. 48 saattir izin talebi onayını bekletiyor.,1
Destek bileti #7065 Yönetici tarafından çözüldü ve kapatıldı.,0
proje planı Departman Müdürü tarafından zamanında onaylandı.,0
"Ekip Lideri, 3 gündür yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"Raporlama Ayşe K. tarafından 1 haftadır tamamlanmadı, proje gecikiyor.",1
Destek bileti #1453 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
Destek bileti #7955 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
"Raporlama Departman Müdürü tarafından hala tamamlanmadı, müşteri bekliyor.",1
Yönetici 3 gündür fatura onayını bekletiyor.,1
"Raporlama Departman Müdürü tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
"Ekip Lideri, hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Departman Müdürü 1 haftadır izin talebi onayını bekletiyor.,1
"Operasyon planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Destek bileti #5556, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
"İK planlaması tamamlandı, kaynaklar atandı.",0
"Finans ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
"Ahmet Y., 1 haftadır yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"İK planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Raporlama Ayşe K. tarafından 48 saattir tamamlanmadı, proje gecikiyor.",1
Ahmet Y. 48 saattir proje planı onayını bekletiyor.,1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Destek bileti #4081 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
Destek bileti #3343 Yönetici tarafından çözüldü ve kapatıldı.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
fatura Ayşe K. tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
"Raporlama Ayşe K. tarafından hala tamamlanmadı, proje gecikiyor.",1
"Destek bileti #3285, Departman Müdürü tarafından hala incelenmedi.",1
"Destek bileti #5530, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
"Satış planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Finans planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
"Satış planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Raporlama Departman Müdürü tarafından 3 gündür tamamlanmadı, müşteri bekliyor.",1
Müşteri verisi Ahmet Y. tarafından 1 haftadır manuel olarak girilmedi.,1
izin talebi Ahmet Y. tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"Departman Müdürü, 1 haftadır yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Satış ekibi zamanında içinde geri dönüş sağladı.,0
"Ahmet Y., hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"Raporlama Ayşe K. tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
"Raporlama Yönetici tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Satış ekibi zamanında içinde geri dönüş sağladı.,0
Raporlama Yönetici tarafından yönetime sunuldu.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"Operasyon ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
Raporlama Yönetici tarafından yönetime sunuldu.,0
fatura Ayşe K. tarafından zamanında onaylandı.,0
Destek bileti #3304 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Destek bileti #6454 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
Destek bileti #4471 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi Departman Müdürü tarafından 3 gündür manuel olarak girilmedi.,1
"Satış planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
Departman Müdürü hala bütçe onayını bekletiyor.,1
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
"İK ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Ahmet Y. 48 saattir proje planı onayını bekletiyor.,1
Satış ekibi bugün içinde geri dönüş sağladı.,0
"Raporlama Ekip Lideri tarafından 5 iş günüdür tamamlanmadı, müşteri bekliyor.",1
Müşteri verisi Departman Müdürü tarafından 5 iş günüdür manuel olarak girilmedi.,1
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Destek bileti #2545 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Ahmet Y. tarafından hala tamamlanmadı, müşteri bekliyor.",1
Ayşe K. 3 gündür bütçe onayını bekletiyor.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Departman Müdürü tarafından 48 saattir tamamlanmadı, proje gecikiyor.",1
Destek bileti #6855 Ayşe K. tarafından çözüldü ve kapatıldı.,0
IT Destek ekibi bugün içinde geri dönüş sağladı.,0
Operasyon ekibi zamanında içinde geri dönüş sağladı.,0
"Operasyon planlaması hala yapılmadı, kaynak ataması bekliyor.",1
Destek bileti #4328 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
"Destek bileti #8187, Ahmet Y. tarafından 1 haftadır incelenmedi.",1
Destek bileti #4348 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Departman Müdürü tarafından 48 saattir tamamlanmadı, proje gecikiyor.",1
Müşteri verisi Departman Müdürü tarafından hala manuel olarak girilmedi.,1
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
Satış ekibi bugün içinde geri dönüş sağladı.,0
Müşteri verisi Ekip Lideri tarafından 1 haftadır manuel olarak girilmedi.,1
"İK planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
fatura Yönetici tarafından zamanında onaylandı.,0
"IT Destek ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
"Destek bileti #7889, Ayşe K. tarafından 3 gündür incelenmedi.",1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
Finans ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Destek bileti #5375 Yönetici tarafından çözüldü ve kapatıldı.,0
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Finans planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
proje planı Ahmet Y. tarafından zamanında onaylandı.,0
proje planı Ayşe K. tarafından zamanında onaylandı.,0
Destek bileti #5111 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Departman Müdürü, 48 saattir yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Destek bileti #6880 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
"Operasyon planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"IT Destek ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Destek bileti #5546 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Destek bileti #3997 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"Ahmet Y., hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Destek bileti #7497, Ahmet Y. tarafından 3 gündür incelenmedi.",1
"Raporlama Yönetici tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"İK planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
"Finans planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Finans ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Yönetici, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Satış planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
Ekip Lideri 1 haftadır bütçe onayını bekletiyor.,1
"Destek bileti #6736, Departman Müdürü tarafından 3 gündür incelenmedi.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
fatura Ekip Lideri tarafından zamanında onaylandı.,0
Destek bileti #2357 Yönetici tarafından çözüldü ve kapatıldı.,0
Destek bileti #1482 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
"Destek bileti #5676, Departman Müdürü tarafından 3 gündür incelenmedi.",1
Destek bileti #2535 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
"Raporlama Departman Müdürü tarafından 3 gündür tamamlanmadı, müşteri bekliyor.",1
"Raporlama Departman Müdürü tarafından 5 iş günüdür tamamlanmadı, müşteri bekliyor.",1
"Operasyon ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Finans ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Destek bileti #4434 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Finans ekibi zamanında içinde geri dönüş sağladı.,0
"Raporlama Yönetici tarafından 3 gündür tamamlanmadı, proje gecikiyor.",1
Müşteri verisi Departman Müdürü tarafından 3 gündür manuel olarak girilmedi.,1
Destek bileti #6102 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"Ayşe K., 3 gündür yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
"Raporlama Yönetici tarafından 48 saattir tamamlanmadı, işlem bekliyor.",1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Finans ekibi zamanında içinde geri dönüş sağladı.,0
"Satış planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
"Satış planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
İK ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Destek bileti #7140, Ayşe K. tarafından 48 saattir incelenmedi.",1
fatura Ekip Lideri tarafından zamanında onaylandı.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
"İK planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
"Destek bileti #2481, Ekip Lideri tarafından hala incelenmedi.",1
Destek bileti #5407 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Ayşe K. 3 gündür bütçe onayını bekletiyor.,1
Ayşe K. 3 gündür izin talebi onayını bekletiyor.,1
"Raporlama Yönetici tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
Destek bileti #3212 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Finans ekibi zamanında içinde geri dönüş sağladı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Yönetici 3 gündür fatura onayını bekletiyor.,1
"Operasyon planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Operasyon ekibi bugün içinde geri dönüş sağladı.,0
Finans ekibi zamanında içinde geri dönüş sağladı.,0
Müşteri verisi Yönetici tarafından 5 iş günüdür manuel olarak girilmedi.,1
Müşteri verisi Ekip Lideri tarafından 48 saattir manuel olarak girilmedi.,1
"Destek bileti #8927, Yönetici tarafından 1 haftadır incelenmedi.",1
fatura Ahmet Y. tarafından zamanında onaylandı.,0
Destek bileti #7009 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
Destek bileti #8592 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Raporlama Ahmet Y. tarafından hala tamamlanmadı, işlem bekliyor.",1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"IT Destek ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"Raporlama Departman Müdürü tarafından 48 saattir tamamlanmadı, müşteri bekliyor.",1
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Destek bileti #8795, Yönetici tarafından 1 haftadır incelenmedi.",1
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Ekip Lideri hala izin talebi onayını bekletiyor.,1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"İK ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
Destek bileti #7697 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
Yönetici 1 haftadır izin talebi onayını bekletiyor.,1
Destek bileti #3531 Yönetici tarafından çözüldü ve kapatıldı.,0
"Ayşe K., hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Ayşe K., 3 gündür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Finans planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
Destek bileti #8629 Yönetici tarafından çözüldü ve kapatıldı.,0
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Destek bileti #2831 Yönetici tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Finans ekibinden hala geri dönüş alınamadı, süreç durdu.",1
İK ekibi zamanında içinde geri dönüş sağladı.,0
fatura Ekip Lideri tarafından zamanında onaylandı.,0
Destek bileti #8172 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Müşteri verisi Ahmet Y. tarafından hala manuel olarak girilmedi.,1
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Operasyon planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
